PLAYER_NAME,POSITION
Jalen Johnson,SF
Trae Young,PG
Nickeil Alexander-Walker,SG
CJ McCollum,SG
Onyeka Okongwu,C
Kristaps Porziņģis,C
Dyson Daniels,SG
Jock Landale,C
Corey Kispert,SF
Zaccharie Risacher,SF
Jordan Walsh,SF
Baylor Scheierman,SG
Luka Garza,C
Neemias Queta,C
Sam Hauser,SF
Derrick White,SG
Payton Pritchard,PG
Nikola Vučević,C
Jayson Tatum,SF
Jaylen Brown,SG
Danny Wolf,C
Nolan Traore,PG
Ziaire Williams,SF
Egor Dëmin,PG
Day'Ron Sharpe,C
Noah Clowney,PF
Nic Claxton,C
Keon Johnson,SG
Michael Porter Jr.,SF
Killian Hayes,PG
Ryan Kalkbrenner,C
DaQuan Jeffries,SF
Aleksej Pokusevski,PF
Malachi Flynn,PG
Moussa Diabaté,PF
Miles Bridges,SF
Kon Knueppel,SG
LaMelo Ball,PG
Brandon Miller,SF
Antonio Reeves,SG
Jaden Ivey,PG
Zach Collins,C
Isaac Okoro,SF
Collin Sexton,SG
Jalen Smith,PF
Tre Jones,PG
Anfernee Simons,SG
Coby White,PG
Matas Buzelis,PF
Josh Giddey,PG
Jaylon Tyson,SF
Jarrett Allen,C
Darius Garland,PG
Evan Mobley,PF
James Harden,PG
Donovan Mitchell,SG
Sam Merrill,SG
Nae'Qwan Tomlin,SF
Dennis Schröder,PG
Max Strus,SF
Anthony Davis,C
Brandon Williams,SG
Max Christie,SG
Spencer Dinwiddie,PG
Naji Marshall,SF
Marvin Bagley III,PF
Klay Thompson,SG
Cooper Flagg,SF
Kyrie Irving,PG
P.J. Washington,PF
Nikola Jokić,C
Bruce Brown,SF
Christian Braun,SG
Jonas Valančiūnas,C
Cameron Johnson,SF
Tim Hardaway Jr.,SG
Aaron Gordon,PF
Peyton Watson,PF
Jamal Murray,PG
Julian Strawther,SG
Cade Cunningham,PG
Jalen Duren,C
Malik Beasley,SG
Tobias Harris,PF
Daniss Jenkins,PG
Duncan Robinson,SF
Chimezie Metu,PF
Colby Jones,SG
Ausar Thompson,SF
Isaiah Stewart,PF
Moses Moody,SG
Stephen Curry,PG
Jimmy Butler III,SF
Brandin Podziemski,SG
